fen,tactical_label
rn1qkbnr/1pp4p/3p1p2/4pQp1/pP2P3/3PB2b/P1P2PPP/RN1K1BNR w kq - 0 12,3
rnbqkbn1/3ppppr/p6p/P7/1pp1PP2/3B4/1PPPN1PP/RNBQK2R b KQq - 1 8,3
r1bqkbnr/ppp1p3/2np2p1/5p1p/2P5/N2PB2P/PP1QPPP1/R3KBNR b KQkq - 2 6,0
r1bqkbr1/Q1pp3p/2n1p1pB/8/2P2p2/3P1P2/PP2P1PP/RN2KBNR b - - 0 12,3
r1bqkbnr/p1p1p1p1/2np4/1p3Q1p/2P2PP1/1P6/P2PP2P/RNB1KBNR w KQkq - 0 9,3
2bqkbnr/1ppn2p1/r7/P2ppp1p/2P4P/P2P3N/4PPP1/RNBQKB1R w Qk - 1 12,2
r1b1kbnr/ppppq1pp/5p2/4p1P1/P2n4/1P6/2PPPPBP/RNBQK1NR w KQkq - 1 6,3
rn2kbnr/1p1qppp1/p7/1BpP3p/PP5P/4P1P1/R2PNP2/1bB1K2R b Kkq - 3 12,3
r3kb1r/pp1bnppp/2p5/3pp3/Pn3P2/2P4B/1PQP1P1P/RNB1K1NR w KQkq - 2 11,3
rn1qk1nr/ppp2ppp/1b1Pb3/1N6/2P1p3/1P1P4/P4PPP/1RBQKBNR b Kkq - 0 9,3
r1b1kbnr/p2pp1p1/1qp4p/1p6/Pn2p1P1/7N/1BPPKP1P/RN1Q1BR1 w kq - 0 11,3
rn1q1bnr/1p2pkpp/p1p1bp2/3p4/1PN3P1/4PB2/P1PPKP1P/1RB1Q1NR b - - 0 10,3
3r1b1r/1ppq2pp/2npkp1n/pN2p3/1PP4N/3P3P/PB1KPPb1/1R2QB1R b - - 4 13,3
r1bqkbnr/p1nppp2/8/1pp3pp/3P1P2/3QP1PP/PPP5/RNB1KBNR w KQkq - 1 7,3
1nb2br1/rp1pkp1p/1P4pn/p1p1p2q/3P1P2/4KQ1P/P1P1P1P1/RNB2BNR w - - 7 13,3
r1bqk1nr/1ppp3p/2n1pp2/pBb2Pp1/P3P2P/7Q/2PP2PN/RNB1K2R b KQkq - 3 12,3
rnbq1bnr/p2ppk2/5pp1/1ppN3p/4P3/3B1NP1/PPPP1P1P/R1BQK2R w KQ - 0 7,3
1nb1qb1r/rp1k3p/4pppQ/2pp4/p1BP4/NPP1PP2/P5PP/R1B1K1NR w KQ - 0 12,3
rnbqk1nr/3p1ppp/1pp5/p1b1p3/4P3/2P3PP/PP1P1P2/RNBQKBNR b KQkq - 0 6,0
r1bq4/ppp1rpbp/4knp1/3pp1BQ/1P1PPP2/2N4P/n1P1N1PR/1R2KB2 b - - 0 13,3
rnbqkb1r/pppp3p/5n2/4p1p1/2P2p2/NP3PP1/P2PP2P/R1BQKBNR w KQkq - 0 6,0
r4bn1/p1q1pkpr/n2pbp2/1Bp1PP2/6Np/6PP/PPPP4/RNBQK2R w KQ - 0 13,3
rnb1k1nr/2pp1p1p/pp4p1/2P1p1q1/5P2/b5PP/PP1PP3/R1BQKBNR b KQkq - 0 7,3
rn1qkbn1/2p1pppr/8/pP1p3p/1P6/5P2/2PP2PP/RNBbKBNR w Kq - 0 9,3
rnb1kb1r/3p2pp/pp4qn/4pp1P/1Pp1P1P1/2NP1Q1B/P1P2P2/1R2K1NR b K - 2 13,3
1nbqk1r1/rppp1pp1/p4n2/1Bb1p2p/P3P3/R4P2/1PPPK1PP/1NBQ2NR w - - 2 8,3
r1bqkbnr/1pp3p1/p1n4p/1N2pp2/2Pp2P1/4P2B/PP1PKP1P/R1BQ2NR w kq - 0 8,3
rnbqk2r/p2p1npp/3b4/2p1pp2/1p2P3/1PP2PPN/P2PB2P/RNBQK2R w kq - 0 12,3
r1bqkbnr/p1ppppp1/7p/1p3B2/2P5/N2P2PN/RP2PP1P/2BQK2R b Kkq - 4 10,2
rnbqkBn1/1p1p4/3bp1p1/p1p4r/P2P1pp1/8/1PPNPP1P/RQ2KB1R w KQq - 2 12,3
r2qkb1r/ppp4p/3ppppQ/5n2/7P/2PBP3/PP1PNP2/R1B1K1NR b KQkq - 0 10,3
r2qkbnr/pppn1p1p/3p4/4p1p1/P1P2Pb1/1P5P/3PP1P1/RNBQKBNR b KQkq - 0 6,3
1rb2rk1/pppp1ppp/n3p2q/8/P7/1PPP3P/4PPPb/RN1QKB1R w KQ - 1 10,0
r1bq2nr/p2kppb1/2pp4/5Ppp/3n4/P2BP1PP/1PPP4/RNBQ1KNR w - - 0 10,3
rnbqkbnr/3pppp1/8/pp5p/2p2Q1P/2NP4/PPP1PPP1/R1B1KBNR w KQkq - 0 6,3
rn1q2n1/pbppk1p1/3bp2r/1P3p1p/2PP4/3Q1PP1/1P2PN1P/RNB1KBR1 w Q - 1 12,3
rnbqkbnr/1p1p2p1/p3pp2/2p4p/5P2/PP2PN2/2PPB1PP/RNBQK2R b KQkq - 0 7,0
rnb2qnr/1pp2kpp/3bp3/1p1p1p2/2B1P1P1/5N2/PPPP1P1P/1RBQK2R w K - 6 10,3
rnq1kbr1/pp2pn1p/Q2p1pp1/1p4N1/1PP3b1/B7/P2PPPPP/R2K1B1R w q - 6 13,3
rnb1k1r1/pppp1ppp/4p3/2b1n3/5P1q/6PN/PPPPP3/RNBQKB1R b KQq - 0 8,3
rnbqk1nr/p1ppb2p/1p6/1N2ppp1/5P1P/P7/1PPPP1PR/R1BQKBN1 b Qkq - 1 7,3
r1b2knr/pppp1p1p/2n2q2/1Q2p1p1/1b2PP2/P5PP/1PPP3N/RNB1KB1R b KQ - 4 10,3
1nbqk1nr/2pp2p1/p3p3/p1P2p1p/4P2P/N3QP1R/P1PP2P1/R1B1K1N1 w Qk - 0 11,0
rnbqk1nr/ppppb2p/4pp2/5Q2/8/1P2P1P1/P1PP1P1P/RNB1KBNR b KQ - 1 7,0
rnbq1bnr/pp1p1k2/8/4pppp/2NN2P1/1P5P/P1PPPPB1/R1BQ1RK1 b - - 0 11,3
rnbqk1nr/1pp2p1p/1b1pp3/p5p1/2P1P3/1P1PQ3/P3NPPP/RNB1KB1R w KQkq - 0 8,3
rn1qkb1r/1pp1pppp/p2p3n/P4b2/8/5PPN/1PPPP2P/RNBQKB1R w KQkq - 1 6,0
rn1q1bnr/p1pppkpp/8/5P1b/1P5P/N7/P1PPPP2/R1BQKBNR b KQ - 2 8,0
r2qkb1r/p3pppp/np3n2/1P1p3N/2pP4/2P4P/P1bKPPP1/1RBQ1BR1 b kq - 4 11,3
rnb1kbnr/pp1p2p1/4p3/q1p2p1p/1P1P4/N3P3/PBP2PPP/R2QKBNR w KQkq - 0 9,3
r1bqkbnr/pppp2pp/2n1pp2/8/Q1P2P2/3P3N/PP2P1PP/RNB1KB1R b KQkq - 4 6,0
r1bqkbnr/1pppp3/p1n5/5ppp/2B1P3/1P1P1Q2/P1P2PPP/RNB1K1NR w KQkq - 0 6,3
rnb1kbnr/1p2ppp1/p2p4/8/3qPQ2/5Pp1/PP1P3P/1RB1KBNR b Kkq - 0 11,3
rn1qk1nr/2pb3p/p4p1b/3pp1p1/1PP5/1P6/1N1PPPPP/1RBQKBNR b Kkq - 1 11,2
r1bqk1nr/1ppnb1pp/p7/3ppp2/P4P2/7P/RPPPP1PR/1NBQKBN1 w kq - 0 9,2
r3kb1r/1bqpppp1/n6p/pp1n4/P1p4P/2PPPP2/1B1Q2P1/RN2KBNR w KQkq - 2 13,3
1r1qk1nr/nb1p1pb1/4p2p/1Pp3p1/3PP3/1PP4P/2Q2PP1/1NBK1BNR b k - 0 11,3
r2qkb1r/pbpp1pp1/2n2n2/1p2pP1p/8/BPN5/P1PPPKPP/1R1Q1BNR b kq - 2 7,2
r1b1kbnr/1p1pppp1/2p5/2n3qp/P2P1BP1/R1P4P/4PP2/1N1QKBNR b Kq - 2 11,3
r1bq1kn1/pppp3r/2P2ppp/4p2P/Q1P3P1/2N2P2/P2PP3/R1B1KBbR b KQ - 3 10,3
rn2kb1r/pppqp1p1/5p1n/BP3b1p/3pP3/2PP1PP1/P6P/RN1QKBNR b KQkq - 0 10,3
rnb1k1nr/pp1p4/q1p1p2p/6p1/PbP1Pp2/2NP2PP/1P1Q1P2/R1B1KBNR w KQkq - 1 11,0
r1b2bnr/pppk1ppp/n7/3pp3/P1P5/1P2P2P/R2PBKP1/1NBQ2NR b - - 2 9,2
rnbqkb2/pppp1ppr/5n2/7p/N2Pp2P/P7/1PPQPPP1/R1B1KBNR w KQq - 1 8,0
rnb1q2r/2p2ppp/p2kp2n/1pbp4/5P2/NP2P1PP/P1PPK3/R1BQ1BNR w - - 4 10,0
r1bk1bnr/p3p1pp/3p4/5B2/Pn1p4/4P3/1PPN1PPP/R1B1K1NR b KQ - 0 11,3
rnb1kbnr/pp1ppp1q/1P6/2p3pp/5P1N/2P3P1/P2PP2P/RNBQKB1R w KQkq - 0 10,3
r1bqkbnr/2Bp1ppp/p3p3/1p1P4/1n6/2N5/PPP1PPPP/R2QKBNR w KQkq - 0 6,3
rnbq1b1r/1pN1kppp/p3pn2/8/P2p2P1/4P2P/1PPPNP2/R1BQKB1R b KQ - 0 8,3
1nbqk2r/r2p1p1p/p2bNn1B/1ppN4/3P1pP1/8/PPP1P2P/1R1QKBR1 b k - 2 11,3
2b1kb1r/1p2p1pp/r1n5/pp1p1p2/6nP/P2P2K1/RPPQP1P1/2B2BNR w k - 3 13,3
r2qkb1r/pbpnp3/1p3p2/3p1Ppp/6nP/PPP4N/1B1PP3/RN1QKBR1 b Qkq - 1 11,0
2bqk1nr/rppp1pb1/4p2p/8/pn5p/NP1PK1PP/P1P1PP1R/R2Q1BN1 w k - 2 11,3
1nbqkb1r/rpppp2p/p5p1/5p2/P3P1nP/5B2/1PPP1PP1/RNBQK1NR w KQk - 4 7,3
rn1qkbn1/pppbp3/2rp4/5p1p/1P4Pp/P4P2/R1PPP3/1NBQKBNR b q - 3 11,3
rnb1kbnr/pp1p1ppp/B7/2p1p3/P3P3/3P2q1/1PP2P1P/RNBQK1NR w KQkq - 0 6,3
rnb1k1nr/1pp2p1p/3p1b2/p3p1p1/q3BPP1/Q1P4N/1P1PP2P/RNB1K2R w kq - 0 13,3
rnbqkb1r/pp4pp/2Pppn2/5p2/6P1/N6N/P1PPPP1P/R1BQKB1R b KQkq - 0 9,3
1nb1kbnr/1q2p1p1/1pp5/1B1p1p1p/1p1PP1PP/1r6/P1P2PR1/RNBQK1N1 w Qk - 3 12,3
rn2kbnr/ppp1pppp/1q6/1N6/3p4/5P1P/PPPPP2P/R1BQKBNR b KQkq - 0 6,0
r2qkbnr/pbpp2pp/5p2/1p2p3/3n3P/P2P4/1PPNPPPB/R2QKBNR w KQkq - 1 7,0
1nbqk2r/1pppbppp/r6n/p3p3/1PP2P1P/6P1/P2PPN2/RNBQKB1R w KQk - 0 8,3
rnbqkb1r/pp1p1ppp/4pn2/2p1P2Q/5P2/8/PPPP2PP/RNB1KBNR w KQkq - 1 6,3
rnb1k1nr/pppp2pp/8/4pp2/1PP3P1/8/1P1PPP2/RNBQKBNq b Qkq - 0 6,3
1rbnkbnr/pp1pp1p1/5pqp/2p2P2/3PP2P/2P4R/PP2Q1P1/RNB1KBN1 b Qk - 0 11,3
rn1qkb1r/6pp/bppppn2/p1P2B2/8/1Q4P1/PP1PPP1P/RNB1K1NR b KQkq - 0 9,3
r1b1kbnr/2qp2p1/p1n1p3/1pp2p1p/1PP2P2/N3PN2/PB1P2PP/2RQKB1R w Kkq - 2 13,3
rnb1kb1r/pppp1ppp/8/4pQ1n/2P4P/6P1/PP1NPP2/R1B1KBNR b KQkq - 0 6,2
rn4nr/p1p1pk1p/q1Pp3b/3P2p1/6b1/1p3P1P/PP1NP1P1/R1B1KBNR w KQ - 0 13,3
r2qkbnr/3b2p1/n7/QpP1pp1p/1PP1p2P/4BP2/P5P1/RN2KBNR w KQk - 1 13,3
rnbq1b1r/pp1k3p/2ppp2n/1QP2p2/1P1P4/N5Pp/PB2PP1P/R3K1NR w KQ - 0 11,3
r2q3r/p1pbkppp/1pn1p2n/3p2b1/PP4PP/N2P1N2/2P1PP1R/R1BQKB2 w Q - 1 12,2
rnb2bnr/p1q1pk2/1p1p3p/P1p5/2P5/3P4/1P2PPP1/RNBQKBNR w KQ - 0 9,3
rnb1k1nr/ppp3p1/5p1p/P2pp3/2Pq1P1P/N5P1/1PQPP3/R1B1KBNR w KQkq - 0 10,3
2kr1b1r/2p1pppp/1p1q1n2/p1np2N1/2NP1B2/1PP5/P3PPPP/R2QKB1R w KQ - 0 10,3
rnb2bnr/pp1ppkpp/8/6B1/2p1p2P/3P1P2/PPP1K1q1/RN2QBNR w - - 0 9,1
rnbq1bnr/1pppp1kp/8/p4pN1/6P1/N2PB3/PPP1PP1P/R2QKB1R b KQ - 0 6,2
rnb1k1r1/p2pbp1p/1qp1p3/Pp4p1/1P2P3/N7/R1PPP1PP/3QKBNR b q - 0 13,3
r1b1kb1r/ppqppp2/n4np1/3P2Np/2p1PP2/2PQ4/PP1NK1PP/R1B2B1R b kq - 1 10,3
r1b1kb1r/p1p1p3/np1q1pp1/1P1p3p/Q1N3n1/2P5/PR1PPPPP/2B1KBNR b Kkq - 5 10,3
r2qkb1r/ppp1p1pp/3pbn2/5p2/3P1P2/1PP3nN/P1Q1PBPP/RN2KBR1 b Qkq - 8 9,3
r1b1k1nr/p3bpp1/n1ppp3/4N1qp/1p1Q2P1/NPP1P3/P2P1P1P/R1B1KB1R b KQkq - 0 10,3
rn1qkb1r/5ppp/3p1n2/p1pP2B1/pP2pPbP/4K3/2P1P1P1/RN1Q1BNR w kq - 0 13,3
rnbqkb1r/ppp1p1p1/5n2/3p1p1p/2NP1PP1/4P3/PPP4P/R1BQKBNR b KQkq - 1 6,3
r1bqkr2/ppnp1p1p/3pp1pb/4P3/1PPP4/4nP2/P3K1PP/R1BQ1BNR w q - 0 12,3
1r1qkbn1/2pppppr/ppb5/4N2p/1n1P1P1P/PP2P1P1/RBP1Q3/1N2KB1R b K - 4 12,3
rnb1kb2/1ppq3r/2np1p2/pN4pp/P5P1/8/1P1PPP1P/R1B1KBNR b KQq - 0 12,0
rnb1kb1r/1ppq1ppp/p4n2/3ppB2/1P6/4P3/P1PP1PPP/RNBQK1NR b KQkq - 0 6,3
rn3bnr/p1pkpp1p/4b3/3p2p1/2pPPqQ1/P1N4N/1PP2PPP/R1B1K2R b KQ d3 0 10,3
rnb1kbnr/3pp3/4q3/pp3Qpp/P1B2P2/1p2P3/2PP2PP/RNB1K1NR b KQkq - 0 13,3
r1b2qnr/pppkb1p1/n2p4/4pp1p/P6P/2P1PP2/1PBPK1P1/RNB1Q1NR w - - 0 12,0
1nbqkb1r/r1p1p1pp/pp3p1n/3p4/2P1P1Q1/PP3N2/3P1PPP/RNB1KB1R w KQk - 2 9,3
r1bq1bnr/2pk1ppp/pp6/3pp3/2PPnP1P/P5P1/1PQNP3/R1B1KBNR b KQ - 0 9,3
rnbqkbr1/2pppppp/p7/1p4P1/n1PP4/P7/1P2PP1P/RNBQKBNR w KQq - 3 9,3
2bqk1nr/rp1np3/5p1b/p1pp2pp/5P2/1PQPP1PP/P1P1K3/RNB2BNR w k - 0 11,3
rnbqk1r1/p2pb1p1/1p2p3/2pnp2p/P1P4P/R3P1P1/1P1P1P1R/1NBQK1N1 b q - 0 13,3
rn1qkbr1/p3pN1p/bp4pn/3p4/PpP1P3/N4PP1/3PK2P/R1BQ3R b q - 2 13,3
r1bq1b1r/p1pknppp/1p1pp3/8/2PN3P/NP1P4/P2BPPP1/R2QKB1R w KQ - 1 10,0
r1q2b1r/pbp1pkpp/5p1n/1pnp4/1P1PP1PN/P7/1BP2PBP/RN1QK2R b Q - 1 13,3
rnbqkbnr/4pppp/p1p5/1p1p4/5P2/4KN2/PPPPP1PP/RNBQ1B1R w kq - 0 6,0
1r1qkb1r/1bpppppp/2n5/ppn5/3B1P1P/3P2P1/PP2K3/RN1Q1BNR w k - 0 12,3
1nb1kb1r/1r2ppp1/1qp4n/1p1p3p/PQ4P1/N3P2N/RPPP1P1P/2B1KB1R b Kk - 4 13,3
r1b1kbnr/pppqp2p/n2p2p1/Q4p2/8/2PPP3/PP3PPP/RNB1KBNR w KQkq - 0 6,3
1rb1kb1r/p1pqppp1/np5p/3p4/1BPPPPP1/4n1QN/PP5P/RN2KB1R b KQk - 1 12,3
rnbq2nr/1p1ppkbp/p4p2/2p3p1/2PB3N/3P4/PP2PPPP/RN1QKB1R w KQ - 1 8,3
r1bq1b1r/p4ppp/np1kp3/2p5/1P1n4/3PB1P1/P1P2P1P/RNQ1KBNR b KQ - 1 11,3
2b1kbnr/rp1ppp2/nq6/pPp3p1/4P1Pp/3P1P1N/P1PB2BP/RN1QK2R b KQk - 0 10,3
r1b1kbnr/2qpp3/1p5p/p1p1Bp2/2P5/P3P2P/3PKPP1/RN1Q1BNR w k - 0 12,3
r1bqkbn1/pp2ppp1/2np3r/8/P1pP2Pp/2N4B/1PPBPP1P/1R1QK1NR w Kq - 1 8,2
rnbqk1r1/pppp1ppp/4pn2/8/3PP3/2P1bP2/PP4PP/RNBQKB1R w KQq - 3 7,0
rnbqkbnr/pp3p2/2p1p1p1/3p4/3P3p/4P3/PPPKQPPP/RNB1NB1R b kq - 1 7,0
r1b1kbnr/1pp2p2/3p2pp/p1q1p3/3PNP2/3P3N/PP2PKPP/1RBQ1BR1 b kq - 0 11,3
rnbqkbr1/1pp1pp2/p4Bpp/8/6P1/1PpPKP1B/P3P2P/RN1Q2NR w q - 0 13,3
r1b1kbr1/ppppqp1p/B1n4n/P3p1p1/6Q1/1P2PNPP/2PP1P1R/RNBK4 w q - 3 12,3
r1b1k1nr/pp1pb2p/n3p1p1/2p2pP1/4P3/1P4PN/P1PPK2P/RNBQ1B1R w kq - 0 9,2
rnbqk1nr/2pppp1p/6pb/p7/Pp1P1BP1/N6B/1PP1PP1P/R2QK1NR b KQkq - 1 10,3
rnb1kb1r/1p1ppp1p/5n2/p5p1/2pP1PP1/q3K2B/PPPBP2P/RN1Q2NR w kq - 12 12,1
1r1qkbr1/p1pb1pp1/n2p4/1p2N2p/3Pn1PP/PP3P2/2P1P2R/RNBQK3 b Q - 1 13,3
rnbqk2r/1ppp1ppp/p2b4/3np3/N1P2P2/1P5P/PBQPP1P1/2R1KBNR w Kkq - 1 10,3
rn2kbnr/1b1p3p/p5p1/1pp1pP2/P6q/2N2P2/1PPPPNBP/R1BQK2R b KQkq - 0 9,3
rnbq1b1r/3kpp1p/2p2n2/pp1p2p1/3P4/PP1QBPPP/2P1P3/RN2KBNR b KQ - 2 8,2
rnb1kbnr/ppq2ppp/8/2ppp1B1/P6P/R2P1P2/1PP1P1P1/1N1QKBNR w Kkq - 1 8,0
rnbqkbnr/2p1p1p1/1p3p2/pP1N4/6Pp/8/P1PPPP1P/1RBQKBNR w Kkq a6 0 7,3
rnbqkbnr/1p1ppp2/p5pp/2p5/2P2P1P/N3P3/PP1P1KP1/R1BQ1BNR w k - 0 7,0
rnb2k1r/p2p1pp1/1q1b1n2/2p1p3/1pPP4/1N2P1P1/PP3P1P/RQB1KBNR w KQ - 3 11,3
rn1qkb1r/p1p2p1p/1pb2n2/3pp1p1/1P1NP1P1/B6B/P1PPKP1P/RN1Q3R b kq - 2 10,3
rnbqk1r1/2pp1ppp/p6n/1p2p3/1b4P1/4P2P/PPPP1P1R/RNBQKBN1 w Qq - 2 7,0
rnbq3r/pp1p2kp/2p2n2/4ppP1/7p/N1b4P/PPPPPP1R/1RBQKB2 w - - 2 11,3
rnb1kbnr/2qppp1p/pp4p1/2p5/P4P1P/R7/1PPPPKP1/1NBQ1BNR w kq - 0 6,2
r2qkbn1/pbp2n2/1p1ppp1r/6pP/4P3/3P1PKN/PPP4P/RNBQ1B1R w q - 2 13,2
r1bqkb1r/pppn1p1p/6p1/3pp3/2P1P1n1/P4P1N/1P1P2PP/RNBQKB1R b KQkq - 1 10,3
1rbq1kn1/2ppppbr/np4pp/5P2/p1PPP3/PP3NK1/6PP/RNBQ1B1R b - - 0 11,3
rnb1kbnr/1p5p/p1p1p3/3p1p2/3K1p2/N4Q1P/PPP1P1PR/R1B2BN1 b kq - 1 10,2
1r1qk2r/p1ppppbB/1pn2n2/8/1Pb3p1/P1N1P3/3P3P/R1BQK1NR w KQk - 0 12,2
r1bqkbnr/p2pp3/1p4p1/n1p1Pp1p/3P4/7N/PPPK1PPP/RNB1QBR1 w kq f6 0 8,2
rn1qk1nr/pbpp2pp/5p1B/1pb1P3/4P1P1/5P1N/PPP4P/RN1QKB1R b KQkq - 0 7,3
rnb2kr1/ppppnpqp/8/2b1p1p1/P2P3N/R1P3PB/1P1BPP1P/1N1QK2R b K - 10 11,3
rnbqkb1r/p1pp1p1p/7p/1N2p2n/3P4/6P1/PPPKPP1P/R1Q2BNR w kq - 0 8,3
rn2k2r/pppb1ppp/3q4/3pp2P/1b4n1/3P1N2/PPPQ1PP1/R1B1KB1R b KQkq - 1 11,3
r2qkbnQ/pb2pp2/1ppp4/1P6/1nP2P2/4P3/P2P2PP/RNBK1BNR b - - 0 10,3
rnb1kb2/2p1pp2/p2p1n1r/1p4pp/2qP1N1B/P6P/1PP1PPPR/RN1QKB2 w Qq - 1 11,3
r2qk1nr/4p2p/2p2p1b/1pNp2N1/pn4b1/3PP1P1/PPP2P1P/R1BQKB1R w KQkq - 1 13,3
1nbqkbnr/2p3pp/rp3p2/1B1pp3/p5P1/N3PP2/PPPP3P/R1BQK1NR b KQk - 1 9,1
r1bq1r2/pppp1k2/3bp1pp/3n1p2/P7/2P2PPB/RP1P1PKP/1NB1Q1NR w - - 0 13,3
rnbq1b1r/Npp1knpp/3p4/4pp2/5NP1/P2P4/1PP1PP1P/R1BQKB1R b KQ - 0 9,3
r1bq1b1r/pppppn2/5kp1/n4p1p/3P2P1/4PN2/PPP2P1P/1RBQKB1R w K - 0 10,3
1rbqkb1r/p3p2p/1ppp3n/2n2pp1/2N1P1Q1/6PN/PPPP1P1P/1RB1KB1R w Kk - 0 12,3
r2qk1nr/p2Bpp2/3p3b/1Qp3pp/3P1PNP/1n4P1/PPP1P3/RNB1K2R b KQkq - 0 13,1
r2q1b1r/p1ppkppp/b7/1Pn2nN1/5p2/3BP1PQ/1PPP3P/RNB1K2R w KQ - 0 11,3
rnbqkbnr/1p6/5pp1/p1p1p2p/1PPp3P/B3PNP1/P2P1P2/RN1QKB1R b Qkq - 1 11,3
r1b1kbr1/pppp1p1p/2n3p1/8/6nP/PP3PPB/1BPPP3/qN1QK1R1 b q - 2 10,3
rnbqk1nr/pp1pppb1/7p/2p3p1/1P6/2N1PQ1N/P1PP1PPP/R1B1KBR1 b Qkq - 1 6,3
rnb1kbnr/1p1p2pp/pqp2p2/4p3/P1B5/1PNPP3/2PQ1PPP/R1B1K1NR b KQkq - 1 7,3
