fen,is_tactical
rnb1kbnr/pp1p2pp/4pp2/q1p3N1/P5P1/8/RPPPPP1P/1NBQKB1R b Kkq - 3 5,1
1rbqkbn1/ppp1ppp1/n2p3r/7p/6P1/P2P1P1N/1PP1PK1P/RNBQ1B1R b - - 1 6,1
r1bqkb1r/pp1pB1pp/n6n/2p2p2/8/1P5P/P1PPPPP1/RN1QKBNR b KQkq - 0 5,1
rnbqkbn1/ppppp1pr/5p2/7p/8/2NP3P/PPP1PPP1/R1BQKBNR w KQq - 1 4,1
rnbqkbnr/2pppppp/p7/1p6/4P2P/5N2/PPPP1PP1/RNBQKB1R b KQkq - 0 3,0
rn1qkbnr/pbppp1pp/8/1p3p2/1P2P3/B1N4P/P1PP1PP1/R2QKBNR b KQkq - 1 5,0
rnb1kb1r/pp1p1ppp/1qp1pn2/8/PP1P3P/8/2P1PPP1/RNBQKBNR b KQkq - 0 5,1
r1bqkbnr/ppppp2p/2n2p2/6p1/5PP1/7B/PPPPP2P/RNBQK1NR w KQkq - 2 4,0
r1bq1bnr/ppppkp1p/n7/1B2p1p1/3P4/4P2N/PPPQ1PPP/RNB1K2R b KQ - 1 5,1
r1bqkbnr/ppp1p1p1/2n5/P2p1p1p/3P2P1/8/1PP1PP1P/RNBQKBNR w KQkq - 1 5,0
rnb1kbnr/1p1pqp1p/p3p3/2p5/7p/NP3N2/P1PPPPP1/R1BQKB1R w KQkq - 0 7,1
r1bqk1nr/p1pn1p1p/4p2b/1p1p2p1/6PP/3P1P2/PPP1P2B/RN1QKBNR w KQkq - 2 7,0
rnbqkb1r/ppp2ppp/5n2/3pp3/P2PP3/8/1PP2PPP/RNBQKBNR w KQkq - 0 4,0
rnbqkb1r/p1p1pppp/7n/1p1p4/P7/2P4P/1P1PPPP1/RNBQKBNR w KQkq - 0 4,1
rnbqkbnr/p1ppp2p/1p3p2/6p1/1P4P1/3P3N/P1P1PP1P/RNBQKB1R b KQkq - 1 4,1
1nbqkbnr/r1pppp1p/pp6/6p1/2P5/N4N1P/PP1PPPP1/R1BQKB1R b KQk - 0 5,0
rnbqkb1r/ppp2p1p/3pp1pn/8/5PP1/3P3P/PPP1P3/RNBQKBNR w KQkq - 0 5,0
rnbqkbnr/p1pppp1p/1p4p1/8/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq - 0 3,0
r1bqkbnr/ppp1ppp1/n2p4/7p/8/1P2PP2/P1PPN1PP/RNBQKB1R b KQkq - 1 4,0
rnbqkbnr/2p1pppp/1p1p4/p7/8/2P1PP2/PP1P2PP/RNBQKBNR w KQkq - 0 4,0
1nbqkbnr/1ppp1ppp/1r6/p3p3/2P2P2/1P5P/P2PP1P1/RNBQKBNR w KQk - 0 5,1
rnbqkb1r/1ppppppp/p6n/8/7P/1QP5/PP1PPPP1/RNB1KBNR b KQkq - 1 3,0
rnb1kb1r/1pp1pppp/3q3n/p2p4/2P2P2/4P3/PP1PN1PP/RNBQKB1R b KQkq - 2 5,0
rnbqk1nr/p1pp1ppp/3b4/1p2p3/2P2PP1/8/PP1PP2P/RNBQKBNR w KQkq - 1 4,0
r1bqkb1r/pppppppp/n7/8/6nP/7R/PPPPPPP1/RNBQKBN1 w Qkq - 3 4,0
rnbqk1nr/1ppp1pp1/8/p1b1p2p/1P4P1/B1N4B/P1PPPP1P/R2Q1KNR b kq - 3 6,1
r1bqkb1r/2pppppp/n6n/pp6/2P5/3P2P1/PP1BPP1P/RN1QKBNR w KQkq - 0 5,1
rnbqkbnr/p1ppppp1/1p6/4B2p/2P4P/1P6/P1QPPPP1/RN2KBNR b KQkq - 1 6,0
rnbqk1nr/p1p1p2p/3p1p1b/1p4p1/Q4B2/2PP1N1P/PP2PPP1/RN2KB1R b KQkq - 1 6,1
rnbqkbnr/ppppp2p/5pp1/8/N7/7P/PPPPPPP1/R1BQKBNR b KQkq - 1 3,0
rn1qkbnr/ppp1pppp/3pb3/8/4P3/3P1P2/PPPK2PP/RNBQ1BNR b kq - 0 4,0
rnbqk2r/ppppppb1/7p/3P2p1/PP3Pn1/8/2PNP1PP/R1BQKBNR w KQkq - 0 7,0
rnbqkbnr/2pppppp/8/pp6/2P5/4P3/PP1PQPPP/RNB1KBNR b KQkq - 0 3,0
1nbqkbr1/rppppppp/1Q6/p7/4P3/2P3P1/PP1P1n1P/RNB1KBNR w KQ - 1 7,1
rnbqkb1r/ppppppp1/5n2/7p/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq - 1 3,0
r1bqkbnr/2ppppp1/2n4p/pp6/5P2/N2PP3/PPP3PP/R1BQKBNR w KQkq - 0 6,1
rnq1kbnr/p1p1pppp/b2p4/1p4N1/4P3/2N2P2/PPPP2PP/R1BQKB1R b KQkq - 0 5,0
r1bqkbnr/1pppp3/p5pp/5p1Q/1n2PP2/1P1PB3/P1P3PP/RN2KBNR w KQkq - 0 7,0
rn1qkbnr/pp2p1pp/8/1bpp1p2/4P3/PP6/2PPBPPP/RNBQK1NR w KQkq - 6 7,1
rn1qkbnr/ppp1pppp/4b3/3pP3/8/8/PPPPNPPP/RNBQKB1R b KQkq - 2 3,0
1nbqkbnr/rp1ppppp/p1p5/1P6/5PPP/2P5/P2PP3/RNBQKBNR b KQk - 0 6,1
r1bqkbnr/ppp1p1p1/n2p1p2/7p/3P2P1/2P2P2/PP2PK1P/RNBQ1BNR b kq - 0 5,1
rnbqkb1r/pppnpppp/8/3p4/5PP1/N7/PPPPP2P/R1BQKBNR w KQkq - 1 4,1
rnbq1bnr/1ppkpppp/p7/8/3p2P1/1P1P1P1P/P1P1P3/RNBQKBNR w KQ - 0 7,0
rnbqkbnr/1p1pp1pp/p1p5/8/5p2/BPP3P1/P2PPP1P/RN1QKBNR w KQkq - 0 5,1
rnb1kbnr/pppqp1p1/7p/3p1p2/5PP1/P7/1PPPP2P/RNBQKBNR w KQkq - 0 5,0
1rbqkbnr/pp1pppp1/n1p5/5P1p/PP1P4/8/2P1P1PP/RNBQKBNR b KQk - 0 5,1
rnbqk2r/pppp1ppp/4pn2/3B4/3b1PP1/8/PPPPP2P/RNBQK1NR b KQkq - 6 5,1
rnbqk1nr/1p1p1ppp/p1p1p3/2b5/3P4/PP6/2P1PPPP/RNBQKBNR b Kkq - 2 5,0
rnbqkbnr/2ppppp1/p3N2p/8/1p6/N7/PPPPPPPP/R1BQKB1R w KQkq - 0 5,1
r1bqkbnr/ppp2p2/2npp1p1/1B6/4P1p1/2N5/PPPP1PPP/R1B1K1NR w KQkq - 0 7,1
rnbqkbnr/pp1p4/2p1pp1p/6p1/P1P1P3/2N4N/1P1P1PPP/R1BQKB1R w KQkq - 0 6,1
rnbqkbnr/1p2ppp1/2pp4/p6p/P2P1P2/4P2P/1PP3P1/RNBQKBNR b KQkq - 0 5,0
1nbqkb1r/1pppp1pp/r7/p4p1P/7P/P7/1PPPPP1R/RNBQKBN1 w Qk - 1 6,1
rnbqkbnr/pppp1pp1/8/4p2p/PP6/7P/2PPPPP1/RNBQKBNR b KQkq - 0 3,1
r1b1kbnr/pppp2pp/n3p3/5pq1/4PP2/6P1/PPPP3P/RNBQKBNR w KQkq - 1 5,1
rnbqkb1r/pp1ppp1p/2p2np1/8/2P2PP1/4P2N/PP1P3P/RNBQKB1R w KQq - 1 6,0
1nbqkbnr/rpppp1pp/8/p7/1P4pP/5N2/P1PPPP2/RNBQKB1R w KQk - 1 5,1
rnbqkbnr/pppp2pp/5p2/8/4P3/2Pp1N2/PPQ2PPP/RNB1KB1R b KQkq - 0 5,1
rnbqkbnr/1ppp1ppp/4p3/p7/2P5/N2BP3/PP1P1PPP/R1BQK1NR b KQkq - 0 4,0
r1bqkbnr/p2pp1pp/n1p5/1pP2p2/4P1Q1/N7/PP1P1PPP/R1B1KBNR b KQkq - 0 5,1
r2qkbnr/pppbpppp/2n5/3p4/1P2PP2/8/P1PP2PP/RNBQKBNR w KQkq - 1 4,0
r1b1kbn1/ppqppp1r/2n5/6pp/5P2/P7/1PPQP1PP/RNB1KBNR w KQq - 0 7,1
rnbqkb1r/p1pp2pp/5p2/1p2p1n1/8/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 7,0
r1bqkb1r/pppppppp/n7/3n4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 4,1
rnbqkb1r/1ppp2pp/p3pp1n/8/8/P1NPP3/1PPB1PPP/R2QKBNR b KQkq - 1 5,0
rn2kbnr/ppp1pppp/3qb3/3p4/6B1/6P1/PPPPPP1P/RNBQK1NR w KQkq - 4 4,0
rnb1kbnr/pp1ppp2/2p5/q5p1/2N2P1p/6P1/PPPPPK1P/1RBQ1BNR b kq - 1 6,1
1n1qkbnr/1bpppppp/rp6/pB6/1P2P3/7N/P1PP1PPP/RNBQK2R w KQk - 2 5,1
rnbqkb1r/pp1pnppp/2p1p3/8/P7/6PB/1PPPPP1P/RNBQK1NR w KQkq - 1 4,0
rnbqkbnr/pppp2pp/5p2/3Pp1B1/8/8/PPP1PPPP/RN1QKBNR b KQkq - 1 3,1
rnbqkbnr/p2ppppp/1p6/2p5/1P6/P4N2/2PPPPPP/RNBQKB1R b KQkq - 0 3,0
rnbqkbnr/p1pp1ppp/8/1p2p3/1P6/2P4N/P2PPPPP/RNBQKB1R w KQkq - 0 4,0
rnbqkbnr/1pppp2p/p5p1/5p2/6PP/5P2/PPPPP3/RNBQKBNR w KQkq - 0 4,0
r1bqkb1r/pppp1ppp/2n2n2/4p3/1PP5/3P4/P3PPPP/RNBQKBNR w KQkq - 1 4,0
1nbqkbnr/rpp1ppp1/p7/3p3p/5P2/5N1P/PPPPPKP1/RNBQ1B1R w k - 0 5,0
r1bqkbnr/pppp2pp/n7/5p2/8/1P5B/P1PPPP1P/RNBQK1NR w KQkq - 0 5,0
rnbqkbnr/ppp1pppp/8/3p4/3P3P/8/PPP1PPPR/RNBQKBN1 b Qkq - 1 3,1
r1bqkbnr/1pp1pppp/p2p4/n6Q/1P1P4/2K1P3/P1P2PPP/RNB2BNR w k - 0 7,1
1nbqkbnr/1pp1pppp/r2p4/p7/6P1/8/PPPPPP1P/RNBQKBNR w KQk - 0 4,0
rnbqkb1r/pp1pp1pp/8/2p2p2/1P1P2n1/5PK1/P1P1P1PP/RNBQ1BNR b kq - 2 5,1
rnbqkbnr/ppppp2p/5pp1/8/P7/2P5/1PQPPPPP/RNB1KBNR b KQkq - 1 3,0
r1bqkbnr/pppp1ppp/n3p3/8/6P1/2N4P/PPPPPP2/R1BQKBNR b KQkq - 0 3,0
r1bqkb1r/ppppppp1/5n2/2n4p/4Q3/3PP2P/PPP2PP1/RNB1KBNR b KQkq - 0 5,1
r1bqkbnr/ppppppp1/n6p/7Q/1P6/4P3/P1PP1PPP/RNB1KBNR b KQkq - 2 3,1
rn1qkbnr/pp2p1pp/3p1p2/2p5/6b1/1P1PP3/P1PB1PPP/RN1QKBNR w KQkq - 0 5,1
rn1qkb1r/p1p1pppp/1p2b3/3p1n2/4P3/6PN/PPPP1PRP/RNBQKB2 w Qkq - 1 6,1
rnbqkbnr/p3pppp/1p1p4/2p5/6P1/P4N2/1PPPPP1P/RNBQKB1R w KQkq - 0 4,0
r1bqkbnr/1ppp1p2/n3p1pp/p7/8/BP1P1N2/P1P1PPPP/RN1QKB1R b KQkq - 1 6,0
rnbqkbnr/p1p1pppp/3p4/1p6/4P1Q1/8/PPPP1PPP/RNB1KBNR b KQkq - 1 3,1
rnbqk2r/p1pp1p1p/1p1b2p1/4N3/P3n3/1P4P1/R1PPPP1P/1NBQKB1R w Kkq - 1 7,1
1nbqkbnr/rppp1pp1/4p3/p3N2p/8/2NP1P2/PPP1P1PP/R1BQKB1R b KQk - 0 5,0
rnbqkbnr/pp2pppp/2p5/3p1P2/1P6/8/P1PPP1PP/RNBQKBNR b KQkq - 0 3,1
rnbqkbnr/p1ppppp1/7p/1pP5/8/8/PPQPPPPP/RNB1KBNR b KQkq - 1 3,0
rnbqkbnr/p1pppppp/8/1p6/3P4/7N/PPPKPPPP/RNBQ1B1R w kq - 2 4,0
rnbqkbnr/pp1pp2p/5p2/2p3p1/2P5/1P3PPB/P2PP2P/RNBQK1NR b KQkq - 1 5,0
rnbqkbnr/1p1p2pp/2p1pp2/p7/2NP4/5P2/PPP1P1PP/R1BQKBNR w KQkq - 0 5,0
rnbqkbnr/p3pppp/1pp5/8/2Np1P2/6PP/PPPPP3/R1BQKBNR b KQkq - 0 5,1
rnbqkbnr/p1pppp1p/1p4p1/8/8/3P3P/PPPNPPP1/R1BQKBNR b KQkq - 0 3,0
r1bqkbnr/p1p2ppp/n2pp3/1p6/5P2/7P/PPPPP1P1/RNBQKBNR b KQkq - 1 5,0
rnbqkbn1/pppppppr/7p/8/6P1/P1P5/1P1PPP1P/RNBQKBNR b KQq - 0 3,0
r1bqkbnr/ppppp1pp/2n5/5pB1/3P4/5P2/PPPKP1PP/RN1Q1BNR w kq - 3 5,0
rnbqkbnr/p2ppppp/2p5/1p6/P7/2N2N2/1PPPPPPP/R1BQKB1R b KQkq - 0 3,0
r1bq1bn1/pppppkpr/5p1p/P7/1n1P4/7N/RPPBPPPP/1N1QKB1R w K - 3 7,1
rnbqkbnr/ppppp3/5ppp/8/8/2N2N1P/PPPPPPP1/R1BQKB1R w KQkq - 0 4,1
rnbqkb1r/pppp1ppp/4p2n/8/1P3P2/P7/2PPP1PP/RNBQKBNR b KQkq - 0 3,0
r1bqk1nr/pppp1ppp/n3p3/6P1/8/4bP1P/PPPPP3/RNBQKBNR w KQkq - 1 5,1
rnbqkb2/1pppppp1/p4nr1/6Np/1P6/B1P5/P2PPPPP/RN1QKB1R w KQq - 0 6,0
rnbqkbnr/p1pppp1p/6p1/1p6/8/2N3PB/PPPPPP1P/R1BQK1NR b KQkq - 1 3,0
rnbq1bnr/pppppk2/5p2/2P3pp/4P3/7N/PP1P1PPP/RNBQKB1R w KQ - 2 5,1
rnbqkbnr/ppppp3/5pp1/7p/4P1Q1/2N5/PPPP1PPP/R1B1KBNR b KQkq - 1 4,1
rnbqkb1r/pp1ppp1p/6pn/2p5/6P1/3N4/PPPPPP1P/RNBQKB1R b KQkq - 1 4,1
rn1qkbnr/pbp1pp1p/1p1p2p1/8/2PP4/P5P1/1P1NPP1P/R1BQKBNR b KQkq - 1 5,1
rn1qkbnr/pbpp1ppp/1p2p3/8/3P4/P4N2/1PP1PPPP/RNBQKB1R w KQkq - 0 4,0
rn1qkb1r/pp2pp1p/2pp2pn/5b2/1QPP1PP1/8/PP2P2P/RNB1KBNR b KQkq - 0 6,1
r1bqkbr1/pppnpppp/3p1n2/1B6/4P3/N4P2/PPPP2PP/R1BQK1NR w KQq - 2 5,0
rnb1kbnr/p1ppq1pp/8/Qp2pp2/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 2 5,0
rnbqkbnr/p1p1pppp/3p4/1p6/4P3/2N4P/PPPP1PP1/R1BQKBNR b KQkq - 0 3,0
rn1qkbnr/p1p1pppp/3p4/1p6/P7/2P2PP1/RP1PP1bP/1NBQKBNR w K - 0 7,1
1rbqkbnr/pp1p1ppp/2p5/2n1p3/8/PP2P2N/2PP1PPP/RNBQKBR1 w Qk - 0 6,0
rn1qkbnr/pp2ppp1/2pp3p/8/6bP/5P2/PPPPP1P1/RNBQKBNR w KQkq - 2 5,1
rnbqkb1r/p2p2pp/1pp1p2n/5p2/5P2/P2P3N/RPP1P1PP/1NBQKB1R w Kkq - 2 6,0
rnbqkbnr/1ppp1ppp/8/p3p3/2PP4/5P2/PP2P1PP/RNBQKBNR b KQkq - 0 3,1
r1bqkbnr/p1ppppp1/1p6/6Pp/5P2/3n4/PPPQP2P/RNBK1BNR b kq - 1 6,1
rnbqkbnr/pppppp1p/8/8/P5p1/2P4N/1P1PPPPP/RNBQKB1R b KQkq - 1 3,1
rnbqkbnr/1pp3pp/p2p4/4ppN1/8/6P1/PPPPPPBP/RNBQK2R w KQkq - 0 5,0
r1bq1bnr/pppppkpp/2n5/5p2/8/NQP1P3/PP1P1PPP/R1B1KBNR b KQ - 2 4,1
rnbqkb1r/1pppp2p/4pn2/p5N1/8/P7/1PPP1PPP/RNBQKB1R w KQq - 1 7,1
rnb1kbnr/pp1ppppp/1Q6/2p1q3/8/2P5/PP1PPPPP/RNB1KBNR w KQkq - 4 4,0
r1bqk1nr/ppppppbp/B7/6pQ/5P2/4P3/PPPP2PP/RNB1K1NR b KQkq - 0 4,1
r1bqkbnr/p1p1p1pp/1p3p2/3p4/1n2P1P1/N4N2/P1PPQP1P/R1B1KB1R b KQkq - 1 6,1
rnbqkb1r/1ppppppp/p6n/1P6/8/5P2/P1PPP1PP/RNBQKBNR b KQkq - 0 3,1
1nbqkb1r/rpp1pppp/7n/p2p4/4P2P/N4P2/PPPP2P1/1RBQKBNR b Kk - 0 5,0
r1bqkbnr/pp1pp2p/2p2p2/6p1/1n1N2PP/P7/1PPPPP2/RNBQKB1R w KQkq - 0 7,1
rnbqkb1r/ppp1ppp1/3p1n1p/8/4P3/1P1P1N2/P1P2PPP/RNBQKB1R b KQkq - 1 4,0
rn1qkbnr/p1pp1ppp/4p3/1p6/4b3/2P2P1N/PP1PP1PP/RNBQKB1R b KQkq - 2 5,0
rnb1kbnr/ppqpppp1/2p4p/8/8/2P2P1N/PP1PP1PP/RNBQKB1R w KQkq - 1 4,0
r1bqkbnr/p1ppp3/n7/1p3ppp/5P2/2N3PN/PPPPPK1P/R1BQ1B1R w kq - 0 6,1
1nbqkbnr/r1ppp1pp/p7/2P2p2/1p5P/3P3R/PP1NPPP1/R1BQKBN1 b Qk - 2 6,0
rn1qkbnr/p1ppp1p1/2b4p/1p3p2/2P5/NP2P2N/P2P1PPP/R1BQKB1R w KQkq - 2 6,0
rnbqkbnr/ppppp1pp/8/5p2/3P2P1/5N2/PPP1PP1P/RNBQKB1R w KQkq - 0 4,1
rnb1kbnr/pp1pqp1p/8/2p1p1p1/N6P/2PP2P1/PP2PP2/R1BQKBNR b KQkq - 0 6,0
1rbqkbnr/p1pp1p1p/1pn1p1p1/8/4PP2/7P/PPPPN1P1/RNBQKB1R w KQk - 0 6,0
r1bqkb1r/ppppnppp/8/P3p3/1n2P1Q1/7P/1PPP1PPR/RNB1KBN1 b Qkq - 4 6,1
rnbqkbnr/2pp1ppp/p7/4p3/1pP5/3P3P/PP1KPPP1/RNBQ1BNR w kq - 0 5,0
r1b1kbnr/1p1npppp/p7/qQpp4/3N4/4P3/PPPP1PPP/R1B1KBNR b KQkq - 3 6,1
rnbqkbnr/ppp1p1pp/3p1p2/8/P7/2NP4/1PP1PPPP/R1BQKBNR b KQkq - 0 3,0
rn1qkbnr/p1p1pp1p/bp4p1/3p4/3P4/N4N2/PPP1PPPP/1RBQKB1R b Kkq - 0 5,0
rnbqkbnr/ppppp1p1/5p2/7p/1P6/B5P1/P1PPPP1P/RN1QKBNR b KQkq - 0 3,0
rnbqkbnr/2ppppp1/1p5p/p5B1/8/3P4/PPP1PPPP/RN1QKBNR w KQkq - 0 4,0
rnbqkbnr/p1p1pppp/3p4/1p6/8/1P1P4/P1PQPPPP/RNB1KBNR b KQkq - 1 3,0
rnbqkbn1/p1ppppp1/1p5r/8/P1N5/1PP4p/3PPPPP/R1BQKBNR w KQq - 0 6,1
rnbqkb1r/1pppp3/p4p1n/6pp/7P/BPN2NP1/P1PPPP2/R2QKB1R b KQkq - 3 6,0
rnbqkb1r/pppppppp/8/8/3P4/N1P1n3/PP1BPPPP/R2QKBNR b KQkq - 2 4,1
rnbqk1nr/ppppbp1p/4p3/6p1/2P5/5N1P/PP1PPPP1/RNBQKB1R w KQkq - 1 4,1
r1bqkbnr/pppnp1pp/3p2R1/5p2/P7/8/1PPPPPPP/1NBQKBNR b Kkq - 1 4,1
rnbqkb1r/1ppppppp/p6n/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 3,0
rnbqkbnr/pp3ppp/8/2ppp3/4PP2/7N/PPPP2PP/RNBQKB1R w KQkq - 0 4,0
rnbq1b1r/pp1pkpp1/4pn2/2p2P1p/1P6/6KN/P1PPP1PP/RNBQ1B1R b - - 3 6,1
